artist,project
Gordon Newell,Hollywood Station Post Office Relief; Los Angeles
Gordon Newell,Post Office Bas Reliefs; San Fernando
Gordon Newell,Post Office Bas-Reliefs (Exterior); Inglewood
Gordon Newell,Griffith Park: Astronomers Monument; Los Angeles
Ivan Bartlett,Post Office Mural; Huntington Park
Ivan Bartlett,Post Office Murals; Redondo Beach
Ivan Bartlett,Irving STEAM Magnet School Mural; Los Angeles
Ivan Bartlett,Polytechnic High School Mural; Long Beach
Jean Swiggett,Post Office Mural; Huntington Park
Jean Swiggett,Post Office Murals; Redondo Beach
Jean Swiggett,Polytechnic High School Mural; Long Beach
Norman Chamberlain,Post Office Mural; Huntington Park
Sherry Peticolas,Hollywood Station Post Office Relief; Los Angeles
Sherry Peticolas,Post Office Bas Reliefs; San Fernando
Sherry Peticolas,Post Office Bas-Reliefs (Exterior); Inglewood
Sherry Peticolas,Power of Water Fountain; Los Angeles